epoch,participant_id,reported_address,claimed,inference_count,missed_requests,miss_rate,earned_coins,rewarded_coins,validation_weight,full_weight,confirmation_weight,raw_total,chain_effective_weight_uncapped,chain_effective_weight,total_epoch_weight,fixed_epoch_reward,expected_reward_pre_downtime,preliminary_exposure,zero_reward,zero_reward_claimed,needs_root_cause_review
269,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,False,False,1031,18,0.01715920,0,0,18787,18787,0,18903,0,0,679397,284391645956190,0,0,True,False,False
270,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,False,False,1927,1,0.00051867,0,0,2908,2908,366,3061,347,347,717467,284256592002215,137479545992,137479545992,True,False,False
270,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,False,False,0,0,,0,0,4853,4853,0,4505,0,0,717467,284256592002215,0,0,True,False,False
270,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,False,False,466,59,0.11238095,0,0,1284,1284,0,1191,0,0,717467,284256592002215,0,0,True,False,False
270,gonka1007n977a7uda3pd9m6hftw8xcql0tc20m96myu,False,False,0,0,,0,0,0,0,0,0,0,0,717467,284256592002215,0,0,True,False,False
270,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,False,False,1532,75,0.04667082,0,0,3735,3735,0,3467,0,0,717467,284256592002215,0,0,True,False,False
271,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,False,False,0,0,,0,0,1072,1072,0,1919,0,0,796030,284121602183634,0,0,True,False,False
271,gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,False,False,703,168,0.19288175,0,0,6080,6080,0,4613,0,0,796030,284121602183634,0,0,True,False,False
271,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,False,False,2648,881,0.24964579,0,0,5814,5814,0,4412,0,0,796030,284121602183634,0,0,True,False,False
271,gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,False,False,3189,36,0.01116279,0,0,11866,11866,0,9004,0,0,796030,284121602183634,0,0,True,False,False
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,False,False,0,0,,0,0,390,390,0,2297,0,0,796030,284121602183634,0,0,True,False,False
271,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,False,False,2758,39,0.01394351,0,0,13787,13787,464,9076,464,464,796030,284121602183634,165612380705,165612380705,True,False,False
271,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,False,False,0,0,,0,0,3850,3850,0,4529,0,0,796030,284121602183634,0,0,True,False,False
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,False,False,1080,6,0.00552486,0,0,65281,65281,27426,46319,27426,27426,823183,283986676469990,9461588235988,9461588235988,True,False,False
272,gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,False,False,62,133,0.68205128,0,0,963,963,0,1919,0,0,823183,283986676469990,0,0,True,False,False
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,False,False,697,20,0.02789400,0,0,23298,23298,3263,24524,3099,3099,823183,283986676469990,1069111862587,1069111862587,True,False,False
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,False,False,0,0,,0,0,1059,1059,0,1114,0,0,823183,283986676469990,0,0,True,False,False
272,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,False,False,618,1,0.00161551,0,0,23839,23839,21287,21625,21287,21287,823183,283986676469990,7343718689546,7343718689546,True,False,False
272,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,True,True,309,90,0.22556391,5262646,0,25462,25462,28135,18836,25462,25462,823183,283986676469990,8784035574445,8784035574445,True,True,True
272,gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,True,True,308,59,0.16076294,10348054,0,17297,17297,16524,10696,16524,16524,823183,283986676469990,5700549989479,5700549989479,True,True,True
272,gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,True,True,416,72,0.14754098,7795716,0,20981,20981,24801,15521,20981,20981,823183,283986676469990,7238152949000,7238152949000,True,True,True
