epoch,participant,source,found,missed,invalid,cost,required_validations,completed_validations,escrow_count,raw_file
280,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,performance_summary,True,2,0,3481570,57,57,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg.json
280,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv.json
280,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,performance_summary,True,0,0,896130,31,7,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs.json
280,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl.json
280,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,performance_summary,True,0,31,10881110,482,473,3,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v.json
280,gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv.json
280,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,performance_summary,True,2,9,6419760,112,108,4,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt.json
280,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg.json
280,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,performance_summary,True,0,0,304300,9,9,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88.json
280,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,performance_summary,True,3,0,1195290,54,54,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu.json
280,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,performance_summary,True,5,1,3484870,51,51,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239.json
280,gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1v5cl6pudnagau7exyu3a9h74clw9zm7l5psp0r.json
280,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu.json
280,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah.json
280,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,performance_summary,False,,,,,,,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4.json
280,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,performance_summary,True,0,0,294500,10,10,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk.json
280,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,performance_summary,True,3,0,992520,8,8,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le.json
280,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,performance_summary,True,1,1,1597610,9,9,1,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p.json
280,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,performance_summary,True,1,15,11199300,236,224,3,data/raw/devshard_recent/epoch_280/devshard_host_epoch_stats_gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx.json
281,gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv.json
281,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09.json
281,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np.json
281,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,epoch_group_data,False,,,,,,,data/raw/devshard_recent/epoch_281/devshard_host_epoch_stats_gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra.json
